" Date","AGN Open","AGN Low","AGN High","AGN Close","AGN Adj. Close"
03-26-2015,"281.46 ","280.70 ","288.39 ","301.32 ","284.59 "
03-25-2015,"292.09 ","283.46 ","292.46 ","300.63 ","283.94 "
03-24-2015,"298.12 ","291.77 ","299.34 ","309.13 ","291.97 "
03-23-2015,"298.62 ","295.66 ","299.07 ","314.97 ","297.48 "
03-20-2015,"298.98 ","297.24 ","300.08 ","317.06 ","299.46 "
03-19-2015,"295.62 ","293.46 ","297.87 ","314.41 ","296.96 "
03-18-2015,"291.37 ","290.54 ","297.51 ","313.95 ","296.52 "
03-17-2015,"291.22 ","287.60 ","291.61 ","307.51 ","290.44 "
03-16-2015,"283.89 ","282.40 ","289.34 ","305.00 ","288.07 "
03-13-2015,"281.70 ","279.28 ","282.87 ","298.95 ","282.35 "
03-12-2015,"278.38 ","277.10 ","283.23 ","298.63 ","282.05 "
03-11-2015,"274.44 ","273.75 ","278.81 ","292.86 ","276.60 "
03-10-2015,"274.38 ","271.63 ","275.69 ","287.60 ","271.63 "
03-09-2015,"273.98 ","271.65 ","277.81 ","293.60 ","277.30 "
03-06-2015,"278.90 ","273.20 ","279.44 ","289.92 ","273.83 "
03-05-2015,"280.61 ","277.41 ","281.67 ","295.70 ","279.28 "
03-04-2015,"279.50 ","274.69 ","280.28 ","296.14 ","279.70 "
03-03-2015,"280.32 ","275.28 ","280.80 ","296.23 ","279.79 "
03-02-2015,"276.89 ","276.55 ","280.98 ","297.31 ","280.81 "
02-27-2015,"274.00 ","273.77 ","276.38 ","291.36 ","275.19 "
02-26-2015,"274.14 ","270.68 ","275.51 ","289.78 ","273.69 "
02-25-2015,"274.85 ","274.00 ","277.68 ","290.40 ","274.28 "
02-24-2015,"275.99 ","272.00 ","276.69 ","289.11 ","273.06 "
02-23-2015,"279.97 ","274.85 ","280.28 ","292.45 ","276.22 "
02-20-2015,"273.90 ","273.15 ","280.30 ","295.77 ","279.35 "
02-19-2015,"266.03 ","265.88 ","275.06 ","289.44 ","273.37 "
02-18-2015,"273.08 ","262.26 ","273.60 ","284.00 ","268.23 "
02-17-2015,"271.57 ","268.24 ","272.77 ","286.90 ","270.97 "
02-13-2015,"265.25 ","263.78 ","271.18 ","285.37 ","269.53 "
02-12-2015,"264.63 ","261.39 ","266.11 ","281.66 ","266.02 "
02-11-2015,"263.65 ","259.73 ","266.35 ","277.51 ","262.10 "
02-10-2015,"259.54 ","257.64 ","264.23 ","279.14 ","263.64 "
02-09-2015,"260.16 ","256.39 ","261.37 ","272.31 ","257.19 "
02-06-2015,"258.96 ","255.88 ","263.18 ","276.55 ","261.20 "
02-05-2015,"251.89 ","251.87 ","261.29 ","274.67 ","259.42 "
02-04-2015,"252.60 ","249.80 ","253.50 ","266.23 ","251.45 "
02-03-2015,"253.34 ","248.76 ","253.89 ","268.35 ","253.45 "
02-02-2015,"253.49 ","247.46 ","254.30 ","267.79 ","252.92 "
01-30-2015,"256.16 ","251.40 ","257.87 ","266.54 ","251.74 "
01-29-2015,"259.85 ","254.26 ","259.85 ","273.25 ","258.08 "
01-28-2015,"266.65 ","257.61 ","266.82 ","273.88 ","258.68 "
01-27-2015,"266.10 ","264.55 ","267.83 ","280.20 ","264.65 "
01-26-2015,"263.51 ","261.51 ","269.26 ","285.02 ","269.20 "
01-23-2015,"262.24 ","261.44 ","264.68 ","279.12 ","263.63 "
01-22-2015,"260.58 ","258.44 ","263.72 ","278.01 ","262.58 "
01-21-2015,"253.55 ","253.31 ","261.52 ","275.77 ","260.46 "
01-20-2015,"254.07 ","251.10 ","255.16 ","269.01 ","254.08 "
01-16-2015,"248.37 ","247.96 ","254.31 ","268.66 ","253.75 "
01-15-2015,"252.18 ","248.45 ","253.93 ","263.75 ","249.11 "
01-14-2015,"251.34 ","249.80 ","254.43 ","266.42 ","251.63 "
01-13-2015,"258.79 ","252.92 ","260.85 ","269.90 ","254.92 "
01-12-2015,"260.01 ","254.82 ","260.44 ","272.28 ","257.16 "
01-09-2015,"255.61 ","252.18 ","256.43 ","268.68 ","253.76 "
01-08-2015,"253.12 ","251.68 ","255.06 ","268.96 ","254.03 "
01-07-2015,"242.72 ","241.89 ","253.09 ","265.23 ","250.51 "
01-06-2015,"242.88 ","238.96 ","245.60 ","255.17 ","241.00 "
01-05-2015,"243.62 ","241.33 ","244.88 ","256.69 ","242.44 "
01-02-2015,"245.82 ","243.78 ","247.71 ","259.13 ","244.74 "
12-31-2014,"245.45 ","243.05 ","247.34 ","257.41 ","243.12 "
12-30-2014,"245.25 ","243.83 ","247.14 ","259.57 ","245.16 "
12-29-2014,"242.48 ","241.60 ","246.71 ","260.22 ","245.77 "
12-26-2014,"240.54 ","239.78 ","243.82 ","257.09 ","242.82 "
12-24-2014,"242.05 ","239.97 ","244.30 ","254.20 ","240.09 "
12-23-2014,"247.22 ","238.03 ","248.59 ","255.88 ","241.68 "
12-22-2014,"249.70 ","244.64 ","250.85 ","261.66 ","247.13 "
12-19-2014,"249.11 ","247.26 ","252.75 ","265.39 ","250.66 "
12-18-2014,"250.01 ","247.63 ","253.47 ","263.75 ","249.11 "
12-17-2014,"243.45 ","240.43 ","246.70 ","260.90 ","246.42 "
12-16-2014,"248.40 ","242.28 ","248.98 ","256.52 ","242.28 "
12-15-2014,"245.09 ","245.09 ","250.12 ","263.00 ","248.40 "
12-12-2014,"244.91 ","244.15 ","247.82 ","259.00 ","244.62 "
12-11-2014,"245.25 ","245.25 ","250.38 ","263.00 ","248.40 "
12-10-2014,"247.70 ","244.32 ","249.09 ","258.81 ","244.44 "
12-09-2014,"246.41 ","245.38 ","249.23 ","263.73 ","249.09 "
12-08-2014,"251.37 ","248.24 ","253.40 ","265.57 ","250.83 "
12-05-2014,"252.61 ","249.85 ","253.68 ","266.06 ","251.29 "
12-04-2014,"251.56 ","251.03 ","253.09 ","267.50 ","252.65 "
12-03-2014,"249.57 ","248.27 ","251.66 ","265.84 ","251.08 "
12-02-2014,"246.13 ","245.59 ","250.39 ","264.21 ","249.54 "
12-01-2014,"254.39 ","248.06 ","254.39 ","263.07 ","248.47 "
11-28-2014,"255.67 ","254.67 ","257.17 ","270.61 ","255.59 "
11-26-2014,"256.55 ","252.34 ","257.61 ","270.47 ","255.46 "
